Model,Index,Std_Model,Std_Obs,RMSE,CRMSE,Std_Ratio,Correlation,RMSE_Prime
NorESM2-LM.csv,FD,10.529288304938031,7.992130045312057,27.615079079962683,12.987595643673487,1.3174570790566897,0.03602085813378933,-0.4208632492106826
NorESM2-MM.csv,FD,11.617607019818712,7.992130045312057,40.55175020198813,13.546445025891707,1.4536308786208065,0.08258943178156782,-0.14955851537502868
ACCESS-ESM1-5,WSDI,5.36043141600622,4.897579257028433,7.3924385792611185,7.111521014420611,1.0945063131573738,0.04088609197129192,0.09392631240259859
BCC-CSM2-MR,WSDI,5.023265487620785,4.897579257028433,6.724747000610671,6.591239977761729,1.0256629293771984,0.11736996283441169,-0.004878077870517213
CanESM5.csv,WSDI,3.8875218055660756,4.897579257028433,7.324489616904931,5.83603699837183,0.7937639396008057,0.13235102743848778,0.08387128698373117
CMCC-ESM2.csv,WSDI,4.46461472430582,4.897579257028433,7.068448412697299,6.9919608942539435,0.9115962172329783,-0.11361232877358228,0.04598254332507615
CNRM-CM6-1.csv,WSDI,4.700932400290261,4.897579257028433,6.483597538175626,6.303264118371795,0.9598481522364407,0.13798934330103022,-0.04056315517633431
CNRM-ESM2-1.csv,WSDI,5.758782878952251,4.897579257028433,7.811435112610136,7.8114131617134674,1.1758427126397024,-0.06857714595199753,0.15592903690569154
INM-CM4-8.csv,WSDI,4.402424821308165,4.897579257028433,7.525266083643131,6.933151311317542,0.8988981270676366,-0.1090142218649866,0.11358200524283292
INM-CM5-0.csv,WSDI,4.4182872250164404,4.897579257028433,5.878397362849466,5.486234175834893,0.9021369523884338,0.30983025471143777,-0.13012012463391823
IPSL-CM6A-LR.csv,WSDI,3.1308895119123044,4.897579257028433,6.757711644237764,5.122638637635587,0.639272862694201,0.24610126578110084,0.0
MIROC6.csv,WSDI,2.948110924760355,4.897579257028433,7.5351030369715435,5.570596922106922,0.6019526729515549,0.05700309402950333,0.11503766861621768
MRI-ESM2-0.csv,WSDI,4.32545183855765,4.897579257028433,6.384297867366407,6.080986355989331,0.8831815906501702,0.134945135173485,-0.0552574298120227
NorESM2-LM.csv,WSDI,4.301720713550996,4.897579257028433,6.315765107165472,6.315765107165472,0.8783361101053484,0.06175699039547248,-0.06539884510300698
NorESM2-MM.csv,WSDI,3.805273937493724,4.897579257028433,6.591239977761729,6.586139163495772,0.7769703638859626,-0.13175226898028355,-0.024634325233155462
ACCESS-ESM1-5,CSDI,3.83583743581753,4.37480158280223,5.228129047119374,5.145482923208623,0.8768026076649006,0.21978818425442279,-0.18988168444762377
BCC-CSM2-MR,CSDI,5.538739983386702,4.37480158280223,7.67270293771174,7.531939307998241,1.2660551292566107,-0.14266047780927646,0.18891426045759543
CanESM5.csv,CSDI,4.205334974726397,4.37480158280223,6.097965659560997,5.981682143177013,0.961263018477907,0.028351937231765136,-0.05509722045944881
CMCC-ESM2.csv,CSDI,3.9534326388127106,4.37480158280223,6.453537645985196,6.399508082946979,0.9036827302874805,-0.17880926061375513,0.0
CNRM-CM6-1.csv,CSDI,3.9391809778691345,4.37480158280223,6.598260152270221,6.596986675457146,0.9004250600425943,-0.25718470376570224,0.02242529821997063
CNRM-ESM2-1.csv,CSDI,4.224861098681826,4.37480158280223,6.619276003825102,6.606726422306616,0.9657263349474329,-0.18017960842042152,0.025681783686969526
INM-CM4-8.csv,CSDI,5.082717698671605,4.37480158280223,7.691987172809551,6.886922260105398,1.1618167367069312,-0.05524382136255813,0.19190242542317942
INM-CM5-0.csv,CSDI,4.4748956812449485,4.37480158280223,6.617877023358496,6.418770698813802,1.022879688723758,-0.052026864562090006,0.025465006386928998
IPSL-CM6A-LR.csv,CSDI,3.805454175454157,4.37480158280223,5.410894360249309,5.387743291748205,0.8698575474631277,0.1379313758125676,-0.16156150981539935
MIROC6.csv,CSDI,4.641466349823427,4.37480158280223,6.267198558987722,6.13555716527807,1.0609547111963848,0.07478362720753885,-0.028873944372726595
MRI-ESM2-0.csv,CSDI,5.810803051107947,4.37480158280223,7.861062033612017,7.093076088345715,1.328243793718732,0.0509929061573919,0.2181012128289752
NorESM2-LM.csv,CSDI,3.837044187037525,4.37480158280223,6.162911769730399,5.958504199109818,0.8770784490252812,-0.04890817588201165,-0.045033575721929515
NorESM2-MM.csv,CSDI,3.672647572534546,4.37480158280223,6.189896187725188,6.1230243027279405,0.8395003757363717,-0.151371317622352,-0.04085223837254924
